date,title,summary
2026-03-24,U.S. and Iran Send Conflicting Signals on Peace Prospects,"President Trump said talks were underway. A top Iranian official denied that, while other Iranians said messages were being traded through intermediaries."
2026-03-23,Canada’s Military Wants to Prove It Can Defend the High Arctic,Canadian soldiers transported M777 howitzers to the High Arctic to show their ability to fight in an increasingly contested part of the world. It did not go as planned.
2026-03-23,"Sidelined by War With Iran, Gaza Residents Remain in Limbo",The new war has led to panic buying and a surge in food prices for Gazans as they try to recover from Israel’s two-year offensive against Hamas.
2026-03-24,A Choice of Deadly Drones Is Only a Few Clicks Away for Ukrainian Troops,"Ukraine has created online marketplaces to let units select their own drones, a break from generations of standardized and centralized weapons procurement."
2026-03-23,"Caught Between Two Conflicts, Afghans Flee Iran","The war in Iran is choking off Afghanistan’s main economic lifeline and has forced at least 70,000 Afghan workers and students there back home to a nation embroiled in another conflict."
2026-03-23,Taiwan Debates Military Spending as Choices Over U.S. and China Loom,Tensions in the opposition Nationalist Party could surface this week as lawmakers argue over additional defense funding intended to counter Beijing’s growing might.
2026-03-24,Colombian Military Plane Crash Kills 66 and Injures Dozens,"A military aircraft transporting 128 people was involved in an accident as it took off from southern Colombia, according to the authorities."
2026-03-23,Canada May Need to Lean on the US as Military Threats in the Arctic Rise,"For the past seven decades, Canada has been the junior partner in a military agreement with the United States to protect the Canadian Arctic."
2026-03-22,"On Beirut’s Waterfront, Loss Meets Life, and Luxury, Amid War","Thousands displaced by Israeli strikes on Lebanon’s capital now shelter along the promenade hugging the Mediterranean Sea. They share it with joggers, cyclists and dog walkers, alongside dizzying displays of wealth."
2026-03-22,"Attack on a Sudan Hospital Kills Dozens, Head of W.H.O. Says","The group’s director general said 13 children were among those killed in the latest violence in the Darfur region, and he decried the targeting of health care facilities in the civil war."
2026-03-24,Government Cuts Gut the Memory of Argentina’s Dirty War,"Fifty years after the military dictatorship, Argentina’s government is defunding human rights groups and promoting a revisionist account of the junta’s crimes."
2026-03-24,Trump Sours on British Leader Over Iran War: ‘What If Donald Shouts at Me?’,President Trump once called Prime Minister Keir Starmer a friend. But Mr. Starmer’s decision not to join the attacks on Iran has led to merciless mocking by the president.
2026-03-24,Pakistan Dials Up Its Information War,"New, friendly media operations and expanded state-run television are pushing Pakistan’s message while independent news outlets face repression."
2026-03-24,How North Korea’s Kim Jong-un Is Using the Iran War to Justify His Nuclear Arsenal,"He delivered a lengthy speech at his country’s rubber-stamp Parliament, declaring that his nuclear power will shield his country from American hostility."
2026-03-24,"Trump Delays Threat to Iran, but War Negotiations Are in Early Stage","President Trump postponed his threat to strike power plants in Iran, citing “productive conversations” with the Iranians. But officials said the talks were in an early stage and not substantive."
2026-03-23,Here’s What Happened in the War in the Middle East on Monday,Conflicting signals about whether any negotiations to end the fighting were in progress created confusion.
2026-03-24,‘Strong Talks’ With Iran?,"President Trump’s latest statements about discussions with Iran don’t necessarily signal an end in sight to the war, but they do buy him some time."
2026-03-23,"Trump Delays Energy Strikes, but Iran’s Infrastructure Is Already Battered","U.S. and Israeli attacks on power plants and other civilian infrastructure risk escalating the conflict across the region, and angering Iranians who oppose the government."
2026-03-23,"Energy Crisis Will Not Be Resolved Quickly if War Ends, I.E.A. Chief Warns","Fatih Birol, the leader of the International Energy Agency, said the Iran war was a bigger crisis than the two oil shocks in the 1970s combined."
2026-03-23,Iran attempted to attack a far-off military base.,
2026-03-23,Energy Attacks in War on Iran Could Turn Economic Shock Into Long-Term Damage,A new phase targeting oil and gas infrastructure in the Persian Gulf threatens to hurt businesses and customers around the world for months or even years.
2026-03-23,"London Arson Attack on Jewish Ambulance Service Investigated as Hate Crime, Police Say",The city’s main police force said it was investigating fires that struck four ambulances as an antisemitic hate crime.
2026-03-23,Iranians Fear Trump’s Threat to Strike Power Plants,"With President Trump threatening to strike Iranian power plants, some war-weary civilians are panicking over a possible new debacle."
2026-03-23,Trump’s Ultimatum to Iran,"The president’s messages on the war have shifted, but the latest threat might be a sign that he’s moving to a harder stance."
2026-03-23,Israel’s Missile Defense Under Scrutiny After Iranian Attack,"Two missiles landed hours apart, wreaking havoc in two towns near a heavily guarded nuclear site in the Negev Desert."
2026-03-23,Here’s What Happened in the War in the Middle East on Sunday,"The Israeli military said its campaign against Hezbollah in Lebanon would intensify, while Iran threatened to attack civilian infrastructure if President Trump followed through with an ultimatum."
2026-03-23,Iran Responds to Trump’s Energy Threat With Defiance and Warnings of Its Own,"Tehran “will not hesitate in defending its people and its land,” a senior official said, after President Trump threatened to destroy Iranian power plants."
2026-03-22,Israel Orders Military to Intensify Demolitions in Southern Lebanon,"Israel Katz, the defense minister, said he ordered troops to destroy more bridges and buildings in southern Lebanon, stoking worries that Israel was widening a military-controlled buffer zone there."
2026-03-22,Residents in Southern Israel Are Shaken After Direct Strikes by Iranian Missiles,"Attacks on Saturday injured dozens in Arad and Dimona, two cities closest to Israel’s main nuclear research facility."
2026-03-22,Terror Attacks Haunted This Brussels Community. Now It’s Trying to Move On.,"Molenbeek was branded a hotbed of radicalization after terrorists hit Brussels and Paris a decade ago, but new challenges show that reinvention doesn’t come easy."
2026-03-23,Here’s What Happened in the War in the Middle East on Saturday,"An Iranian missile wounded dozens in Dimona, a city near Israel’s main nuclear research facility, as Tehran showed no signs of backing down."
2026-03-22,Iranian missile strikes Israeli city near main nuclear research facility.,
2026-03-21,"With Fire and Song, Kurds in Turkey Hail the Start of Spring","The Newroz holiday comes at a critical time, as Kurds in Turkey push for peace while their brethren in Syria and Iran fear further conflict."
2026-03-21,How the Litani River Shapes the Israel-Hezbollah War,"The 90-mile waterway, back in focus amid Israel’s renewed offensive in Lebanon, could define how far the fighting spreads."
2026-03-21,Israel Strikes Across Lebanon Amid Fierce Ground Fighting in the South,The Israeli military said it was stepping up attacks aimed at infrastructure in Beirut belonging to Hezbollah.
2026-03-24,"Trump Delays Threat to Iran, but War Negotiations Are in Early Stage","President Trump postponed his threat to strike power plants in Iran, citing “productive conversations” with the Iranians. But officials said the talks were in an early stage and not substantive."
2026-03-24,Trump Sours on British Leader Over Iran War: ‘What If Donald Shouts at Me?’,President Trump once called Prime Minister Keir Starmer a friend. But Mr. Starmer’s decision not to join the attacks on Iran has led to merciless mocking by the president.
2026-03-23,Pentagon Officials Weigh Deployment of Airborne Troops for Iran War,"The combat forces would come from a brigade of about 3,000 soldiers capable of deploying anywhere in the world within 18 hours."
2026-03-24,Mullin’s Smooth Confirmation Was a Throwback in the Senate,"In choosing Senator Markwayne Mullin, who has warm relationships across the Capitol and the political aisle, President Trump was reverting to a bygone tradition."
2026-03-24,Pakistan Dials Up Its Information War,"New, friendly media operations and expanded state-run television are pushing Pakistan’s message while independent news outlets face repression."
2026-03-24,Colombian Military Plane Crash Kills 66 and Injures Dozens,"A military aircraft transporting 128 people was involved in an accident as it took off from southern Colombia, according to the authorities."
2026-03-24,"Valerie Perrine, Screen Siren Who Won Critical Acclaim, Dies at 82","Known early on for skin-baring temptress roles, she later earned rave reviews, a Cannes award and an Oscar nomination for her performance in the Lenny Bruce biopic “Lenny.”"
